1;Alfred Marie-Jeanne 
1;Bruno Nestor Azerot 
1;François Asensi 
1;Jean-Jacques Candelier 
1;Patrice Carvalho 
2;Gabriel Serville 
3;Nicolas Sansu 
6;Marc Dolez 
7;Marie-George Buffet 
11;Jacqueline Fraysse 
12;André Chassaigne 
