1;François-Michel Lambert 
1;Isabelle Attard 
1;Noël Mamère 
2;Brigitte Allain 
2;Éric Alauzet 
2;François de Rugy 
2;Jean-Louis Roumegas 
2;Laurence Abeille 
2;Véronique Massonneau 
3;Michèle Bonneton 
3;Sergio Coronado 
4;Christophe Cavard 
4;Eva Sas 
5;Paul Molac 
6;Denis Baupin 
