1;Denis Baupin 
1;Gilles Bourdouleix 
1;Jacques Bompard 
1;Jean Lassalle 
1;Laurence Abeille 
1;Noël Mamère 
1;Pouria Amirshahi 
1;Sergio Coronado 
2;Dominique Chauvel 
2;Jean-Christophe Fromantin 
2;Nicolas Dupont-Aignan 
2;Véronique Besse 
3;Michèle Bonneton 
4;Philippe Noguès 
6;Annick Girardin 
11;Thomas Thévenoud 
